Starting at 2016-04-01 23:43:07.848584...

	
Parameters:	
Table:claim_events_simple	
Limit Infrequent Events: 1	
Limit Infrequent Pairs: 1	
Prune KL-Divergence: 0.5	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.01	

Found:0 Checked:1 Candidates:10282  (AllegedRemoved AssRouteToOffice)
Found:0 Checked:64 Candidates:10219  (applyCreditSubmit RefSentPD)
Found:0 Checked:65 Candidates:10218  (applyCreditSubmit RefSentPDVE)
Found:0 Checked:66 Candidates:10217  (applyCreditSubmit RefSentRental)
Found:0 Checked:67 Candidates:10216  (applyCreditSubmit RefSentSalvage)
Found:0 Checked:68 Candidates:10215  (applyCreditSubmit Rental)
Found:0 Checked:69 Candidates:10214  (applyCreditSubmit ReviewRemFromInbox)
Found:0 Checked:70 Candidates:10213  (applyCreditSubmit RouteToInbox)
Found:0 Checked:71 Candidates:10212  (applyCreditSubmit SuspendedItem)
Found:0 Checked:72 Candidates:10211  (applyCreditSubmit Suspense)
Found:0 Checked:73 Candidates:10210  (applyCreditSubmit TLWCompleteTtlLoss)
Found:0 Checked:74 Candidates:10209  (applyCreditSubmit TLWReopened)
Found:0 Checked:75 Candidates:10208  (applyCreditSubmit UnsuspendedItem)
Found:0 Checked:76 Candidates:10207  (applyCreditSubmit Vehicle)
Found:0 Checked:77 Candidates:10206  (applyCreditSubmit VehicleEdited)
Found:0 Checked:78 Candidates:10205  (applyCreditSubmit VehSlvgLogCompltd)
Found:0 Checked:79 Candidates:10204  (AssociatedToClaim applyCreditSubmit)
Found:0 Checked:80 Candidates:10203  (AssociatedToClaim AssociatedToClaim)
Found:0 Checked:81 Candidates:10202  (AssociatedToClaim AssociatedToParty)
Found:0 Checked:82 Candidates:10201  (AssociatedToClaim AssReRouteOffice)
Found:0 Checked:83 Candidates:10200  (AssociatedToClaim AssReRouteQueue)
Found:0 Checked:84 Candidates:10199  (AssociatedToClaim AssRouteToOffice)
Found:0 Checked:85 Candidates:10198  (AssociatedToClaim AssToFileHandler)
Found:0 Checked:86 Candidates:10197  (AssociatedToClaim AudatexReceipt)
Found:0 Checked:87 Candidates:10196  (AssociatedToClaim ChangedDocType)
Found:0 Checked:88 Candidates:10195  (AssociatedToClaim ChangedfromParty)
Found:0 Checked:89 Candidates:10194  (AssociatedToClaim ChangedtoParty)
Found:0 Checked:90 Candidates:10193  (AssociatedToClaim ClaimActivityLog)
Found:0 Checked:91 Candidates:10192  (AssociatedToClaim ClaimClosed)
Found:0 Checked:92 Candidates:10191  (AssociatedToClaim ClaimEdited)
Found:0 Checked:93 Candidates:10190  (AssociatedToClaim ClaimReopened)
Found:0 Checked:94 Candidates:10189  (AssociatedToClaim ClaimReported)
Found:0 Checked:95 Candidates:10188  (AssociatedToClaim ClaimSecured)
Found:0 Checked:96 Candidates:10187  (AssociatedToClaim ClaimSentToLFS)
Found:0 Checked:97 Candidates:10186  (AssociatedToClaim ClaimSetup)
Found:0 Checked:98 Candidates:10185  (AssociatedToClaim ClaimSummary)
Found:0 Checked:99 Candidates:10184  (AssociatedToClaim ClaimUnsecured)
Found:0 Checked:100 Candidates:10183  (AssociatedToClaim Contact)
Found:0 Checked:101 Candidates:10182  (AssociatedToClaim COPSCarAsgSentCRP)
Found:0 Checked:102 Candidates:10181  (AssociatedToClaim COPSCarAsgSentPDR)
Found:0 Checked:103 Candidates:10180  (AssociatedToClaim CorrAssignToHndler)
Found:0 Checked:104 Candidates:10179  (AssociatedToClaim Correspondencsent)
Found:0 Checked:105 Candidates:10178  (AssociatedToClaim Coverage)
Found:0 Checked:106 Candidates:10177  (AssociatedToClaim DocAddInProgress)
Found:0 Checked:107 Candidates:10176  (AssociatedToClaim DocumentAdded)
Found:0 Checked:108 Candidates:10175  (AssociatedToClaim DocumentFiled)
Found:0 Checked:109 Candidates:10174  (AssociatedToClaim EOBSent)
Found:0 Checked:110 Candidates:10173  (AssociatedToClaim EORSent)
Found:0 Checked:111 Candidates:10172  (AssociatedToClaim FYISent)
Found:0 Checked:112 Candidates:10171  (AssociatedToClaim grpPymtSubmit)
Found:0 Checked:113 Candidates:10170  (AssociatedToClaim Inbound)
Found:0 Checked:114 Candidates:10169  (AssociatedToClaim InitialContact)
Found:0 Checked:115 Candidates:10168  (AssociatedToClaim IsoAutUpdRpt)
Found:0 Checked:116 Candidates:10167  (AssociatedToClaim IsoDataErrRpt)
Found:0 Checked:117 Candidates:10166  (AssociatedToClaim IsoMatchRpt)
Found:0 Checked:118 Candidates:10165  (AssociatedToClaim IsoNoMatchRpt)
Found:0 Checked:119 Candidates:10164  (AssociatedToClaim ItemCompleteDenial)
Found:0 Checked:120 Candidates:10163  (AssociatedToClaim ItmReAssToFHndler)
Found:0 Checked:121 Candidates:10162  (AssociatedToClaim LiabilityAnalysis)
Found:0 Checked:122 Candidates:10161  (AssociatedToClaim makePaymentSubmit)
Found:0 Checked:123 Candidates:10160  (AssociatedToClaim ManualDeny)
Found:0 Checked:124 Candidates:10159  (AssociatedToClaim ManualPayment)
Found:0 Checked:125 Candidates:10158  (AssociatedToClaim Medical)
Found:0 Checked:126 Candidates:10157  (AssociatedToClaim Medicare)
Found:0 Checked:127 Candidates:10156  (AssociatedToClaim MedicareNotify)
Found:0 Checked:128 Candidates:10155  (AssociatedToClaim MovefromClaim)
Found:0 Checked:129 Candidates:10154  (AssociatedToClaim MoveFromInvstigatn)
Found:0 Checked:130 Candidates:10153  (AssociatedToClaim MovefromParty)
Found:0 Checked:131 Candidates:10152  (AssociatedToClaim MovetoClaim)
Found:0 Checked:132 Candidates:10151  (AssociatedToClaim MovetoParty)
Found:0 Checked:133 Candidates:10150  (AssociatedToClaim MultDocAddBegin)
Found:0 Checked:134 Candidates:10149  (AssociatedToClaim MultipleDocAdded)
Found:0 Checked:135 Candidates:10148  (AssociatedToClaim MutliEOBSent)
Found:0 Checked:136 Candidates:10147  (AssociatedToClaim NoteTrnsFrm)
Found:0 Checked:137 Candidates:10146  (AssociatedToClaim Outbound)
Found:0 Checked:138 Candidates:10145  (AssociatedToClaim OwRetTLWComTtlLoss)
Found:0 Checked:139 Candidates:10144  (AssociatedToClaim PartyAdded)
Found:0 Checked:140 Candidates:10143  (AssociatedToClaim PartyEdited)
Found:0 Checked:141 Candidates:10142  (AssociatedToClaim PaymentBlockSet)
Found:0 Checked:142 Candidates:10141  (AssociatedToClaim PerilActivity)
Found:0 Checked:143 Candidates:10140  (AssociatedToClaim Perils/Reserves)
Found:0 Checked:144 Candidates:10139  (AssociatedToClaim PhvcNotice)
Found:0 Checked:145 Candidates:10138  (AssociatedToClaim RcvdTranscriptn)
Found:0 Checked:146 Candidates:10137  (AssociatedToClaim ReasonforEscalation)
Found:0 Checked:147 Candidates:10136  (AssociatedToClaim ReceiptItem)
Found:0 Checked:148 Candidates:10135  (AssociatedToClaim RecordedStatementSu)
Found:0 Checked:149 Candidates:10134  (AssociatedToClaim recordManualPymt)
Found:0 Checked:150 Candidates:10133  (AssociatedToClaim RefAssign)
Found:0 Checked:151 Candidates:10132  (AssociatedToClaim RefCompPDVE)
Found:0 Checked:152 Candidates:10131  (AssociatedToClaim Referral)
Found:0 Checked:153 Candidates:10130  (AssociatedToClaim RefRemFromInbox)
Found:0 Checked:154 Candidates:10129  (AssociatedToClaim RefRespAuthority)
Found:0 Checked:155 Candidates:10128  (AssociatedToClaim RefRespBTCD)
Found:0 Checked:156 Candidates:10127  (AssociatedToClaim RefRespCSLT)
Found:0 Checked:157 Candidates:10126  (AssociatedToClaim RefRespFS)
Found:0 Checked:158 Candidates:10125  (AssociatedToClaim RefRespGeneral)
Found:0 Checked:159 Candidates:10124  (AssociatedToClaim RefRespPD)
Found:0 Checked:160 Candidates:10123  (AssociatedToClaim RefRespPDVE)
Found:0 Checked:161 Candidates:10122  (AssociatedToClaim RefRespPoliceFire)
Found:0 Checked:162 Candidates:10121  (AssociatedToClaim RefRespRCC)
Found:0 Checked:163 Candidates:10120  (AssociatedToClaim RefRespRental)
Found:0 Checked:164 Candidates:10119  (AssociatedToClaim RefRespSalvage)
Found:0 Checked:165 Candidates:10118  (AssociatedToClaim RefSentAuthority)
Found:0 Checked:166 Candidates:10117  (AssociatedToClaim RefSentBTCD)
Found:0 Checked:167 Candidates:10116  (AssociatedToClaim RefSentCRD)
Found:0 Checked:168 Candidates:10115  (AssociatedToClaim RefSentCSLT)
Found:0 Checked:169 Candidates:10114  (AssociatedToClaim RefSentFS)
Found:0 Checked:170 Candidates:10113  (AssociatedToClaim RefSentGeneral)
Found:0 Checked:171 Candidates:10112  (AssociatedToClaim RefSentPD)
Found:0 Checked:172 Candidates:10111  (AssociatedToClaim RefSentPDVE)
Found:0 Checked:173 Candidates:10110  (AssociatedToClaim RefSentPoliceFire)
Found:0 Checked:174 Candidates:10109  (AssociatedToClaim RefSentRCC)
Found:0 Checked:175 Candidates:10108  (AssociatedToClaim RefSentRental)
Found:0 Checked:176 Candidates:10107  (AssociatedToClaim RefSentSalvage)
Found:0 Checked:177 Candidates:10106  (AssociatedToClaim Rental)
Found:0 Checked:178 Candidates:10105  (AssociatedToClaim ReturnFrBillAudit)
Found:0 Checked:179 Candidates:10104  (AssociatedToClaim ReviewRemFromInbox)
Found:0 Checked:180 Candidates:10103  (AssociatedToClaim RouteToInbox)
Found:0 Checked:181 Candidates:10102  (AssociatedToClaim RouteToUnAssiMail)
Found:0 Checked:182 Candidates:10101  (AssociatedToClaim Salvage)
Found:0 Checked:183 Candidates:10100  (AssociatedToClaim SendTransHigh)
Found:0 Checked:184 Candidates:10099  (AssociatedToClaim SentToBillAudit)
Found:0 Checked:185 Candidates:10098  (AssociatedToClaim SetupEbillParty)
Found:0 Checked:186 Candidates:10097  (AssociatedToClaim SuspendedItem)
Found:0 Checked:187 Candidates:10096  (AssociatedToClaim Suspense)
Found:0 Checked:188 Candidates:10095  (AssociatedToClaim TLWCompleteReprble)
Found:0 Checked:189 Candidates:10094  (AssociatedToClaim TLWCompleteTtlLoss)
Found:0 Checked:190 Candidates:10093  (AssociatedToClaim UnsuspendedItem)
Found:0 Checked:191 Candidates:10092  (AssociatedToClaim updtPymtVoid)
Found:0 Checked:192 Candidates:10091  (AssociatedToClaim Vehicle)
Found:0 Checked:193 Candidates:10090  (AssociatedToClaim VehicleEdited)
Found:0 Checked:194 Candidates:10089  (AssociatedToClaim VehSlvgLogCompltd)
Found:0 Checked:195 Candidates:10088  (AssociatedToClaim XPayAuthApprv)
Found:0 Checked:196 Candidates:10087  (AssociatedToClaim XPayAuthLimit)
Found:0 Checked:197 Candidates:10086  (AssociatedToParty applyCreditSubmit)
Found:0 Checked:198 Candidates:10085  (AssociatedToParty AssociatedToClaim)
Found:0 Checked:199 Candidates:10084  (AssociatedToParty AssociatedToParty)
Found:0 Checked:200 Candidates:10083  (AssociatedToParty AssReRouteOffice)
Found:0 Checked:201 Candidates:10082  (AssociatedToParty AssReRouteQueue)
Found:0 Checked:202 Candidates:10081  (AssociatedToParty AssRouteToOffice)
Found:0 Checked:203 Candidates:10080  (AssociatedToParty AssToFileHandler)
Found:0 Checked:204 Candidates:10079  (AssociatedToParty AudatexReceipt)
Found:0 Checked:205 Candidates:10078  (AssociatedToParty ChangedDocType)
Found:0 Checked:206 Candidates:10077  (AssociatedToParty ChangedfromParty)
Found:0 Checked:207 Candidates:10076  (AssociatedToParty ChangedtoParty)
Found:0 Checked:208 Candidates:10075  (AssociatedToParty ClaimActivityLog)
Found:0 Checked:209 Candidates:10074  (AssociatedToParty ClaimClosed)
Found:0 Checked:210 Candidates:10073  (AssociatedToParty ClaimEdited)
Found:0 Checked:211 Candidates:10072  (AssociatedToParty ClaimReopened)
Found:0 Checked:212 Candidates:10071  (AssociatedToParty ClaimReported)
Found:0 Checked:213 Candidates:10070  (AssociatedToParty ClaimSecured)
Found:0 Checked:214 Candidates:10069  (AssociatedToParty ClaimSentToLFS)
Found:0 Checked:215 Candidates:10068  (AssociatedToParty ClaimSetup)
Found:0 Checked:216 Candidates:10067  (AssociatedToParty ClaimSummary)
Found:0 Checked:217 Candidates:10066  (AssociatedToParty ClaimUnsecured)
Found:0 Checked:218 Candidates:10065  (AssociatedToParty Contact)
Found:0 Checked:219 Candidates:10064  (AssociatedToParty COPSCarAsgSentCRP)
Found:0 Checked:220 Candidates:10063  (AssociatedToParty COPSCarAsgSentPDR)
Found:0 Checked:221 Candidates:10062  (AssociatedToParty Correspondencsent)
Found:0 Checked:222 Candidates:10061  (AssociatedToParty Coverage)
Found:0 Checked:223 Candidates:10060  (AssociatedToParty DocAddInProgress)
Found:0 Checked:224 Candidates:10059  (AssociatedToParty DocumentAdded)
Found:0 Checked:225 Candidates:10058  (AssociatedToParty DocumentFiled)
Found:0 Checked:226 Candidates:10057  (AssociatedToParty EOBSent)
Found:0 Checked:227 Candidates:10056  (AssociatedToParty EORSent)
Found:0 Checked:228 Candidates:10055  (AssociatedToParty FYISent)
Found:0 Checked:229 Candidates:10054  (AssociatedToParty grpPymtSubmit)
Found:0 Checked:230 Candidates:10053  (AssociatedToParty Inbound)
Found:0 Checked:231 Candidates:10052  (AssociatedToParty InitialContact)
Found:0 Checked:232 Candidates:10051  (AssociatedToParty IsoAutUpdRpt)
Found:0 Checked:233 Candidates:10050  (AssociatedToParty IsoDataErrRpt)
Found:0 Checked:234 Candidates:10049  (AssociatedToParty IsoMatchRpt)
Found:0 Checked:235 Candidates:10048  (AssociatedToParty IsoNoMatchRpt)
Found:0 Checked:236 Candidates:10047  (AssociatedToParty ItemCompleteDenial)
Found:0 Checked:237 Candidates:10046  (AssociatedToParty ItmReAssToFHndler)
Found:0 Checked:238 Candidates:10045  (AssociatedToParty LiabilityAnalysis)
Found:0 Checked:239 Candidates:10044  (AssociatedToParty makePaymentSubmit)
Found:0 Checked:240 Candidates:10043  (AssociatedToParty ManualDeny)
Found:0 Checked:241 Candidates:10042  (AssociatedToParty ManualPayment)
Found:0 Checked:242 Candidates:10041  (AssociatedToParty Medical)
Found:0 Checked:243 Candidates:10040  (AssociatedToParty Medicare)
Found:0 Checked:244 Candidates:10039  (AssociatedToParty MedicareNotify)
Found:0 Checked:245 Candidates:10038  (AssociatedToParty MoveFromInvstigatn)
Found:0 Checked:246 Candidates:10037  (AssociatedToParty MovefromParty)
Found:0 Checked:247 Candidates:10036  (AssociatedToParty MovetoParty)
Found:0 Checked:248 Candidates:10035  (AssociatedToParty MultDocAddBegin)
Found:0 Checked:249 Candidates:10034  (AssociatedToParty MultipleDocAdded)
Found:0 Checked:250 Candidates:10033  (AssociatedToParty MutliEOBSent)
Found:0 Checked:251 Candidates:10032  (AssociatedToParty Outbound)
Found:0 Checked:252 Candidates:10031  (AssociatedToParty OwRetTLWComTtlLoss)
Found:0 Checked:253 Candidates:10030  (AssociatedToParty PartyAdded)
Found:0 Checked:254 Candidates:10029  (AssociatedToParty PartyEdited)
Found:0 Checked:255 Candidates:10028  (AssociatedToParty PerilActivity)
Found:0 Checked:256 Candidates:10027  (AssociatedToParty Perils/Reserves)
Found:0 Checked:257 Candidates:10026  (AssociatedToParty PhvcNotice)
Found:0 Checked:258 Candidates:10025  (AssociatedToParty RcvdTranscriptn)
Found:0 Checked:259 Candidates:10024  (AssociatedToParty ReasonforEscalation)
Found:0 Checked:260 Candidates:10023  (AssociatedToParty ReceiptItem)
Found:0 Checked:261 Candidates:10022  (AssociatedToParty recordManualPymt)
Found:0 Checked:262 Candidates:10021  (AssociatedToParty RefAssign)
Found:0 Checked:263 Candidates:10020  (AssociatedToParty RefCompPDVE)
Found:0 Checked:264 Candidates:10019  (AssociatedToParty Referral)
Found:0 Checked:265 Candidates:10018  (AssociatedToParty RefRemFromInbox)
Found:0 Checked:266 Candidates:10017  (AssociatedToParty RefRespAuthority)
Found:0 Checked:267 Candidates:10016  (AssociatedToParty RefRespBTCD)
Found:0 Checked:268 Candidates:10015  (AssociatedToParty RefRespCSLT)
Found:0 Checked:269 Candidates:10014  (AssociatedToParty RefRespFS)
Found:0 Checked:270 Candidates:10013  (AssociatedToParty RefRespGeneral)
Found:0 Checked:271 Candidates:10012  (AssociatedToParty RefRespPD)
Found:0 Checked:272 Candidates:10011  (AssociatedToParty RefRespPDVE)
Found:0 Checked:273 Candidates:10010  (AssociatedToParty RefRespPoliceFire)
Found:0 Checked:274 Candidates:10009  (AssociatedToParty RefRespRental)
Found:0 Checked:275 Candidates:10008  (AssociatedToParty RefRespSalvage)
Found:0 Checked:276 Candidates:10007  (AssociatedToParty RefSentAuthority)
Found:0 Checked:277 Candidates:10006  (AssociatedToParty RefSentBTCD)
Found:0 Checked:278 Candidates:10005  (AssociatedToParty RefSentCRD)
Found:0 Checked:279 Candidates:10004  (AssociatedToParty RefSentCSLT)
Found:0 Checked:280 Candidates:10003  (AssociatedToParty RefSentFS)
Found:0 Checked:281 Candidates:10002  (AssociatedToParty RefSentGeneral)
Found:0 Checked:282 Candidates:10001  (AssociatedToParty RefSentPD)
Found:0 Checked:283 Candidates:10000  (AssociatedToParty RefSentPDVE)
Found:0 Checked:284 Candidates:9999  (AssociatedToParty RefSentPoliceFire)
Found:0 Checked:285 Candidates:9998  (AssociatedToParty RefSentRental)
Found:0 Checked:286 Candidates:9997  (AssociatedToParty RefSentSalvage)
Found:0 Checked:287 Candidates:9996  (AssociatedToParty Rental)
Found:0 Checked:288 Candidates:9995  (AssociatedToParty ReturnFrBillAudit)
Found:0 Checked:289 Candidates:9994  (AssociatedToParty ReviewRemFromInbox)
Trimmed event_type with KL divergence: 0.119470037507
Found:0 Checked:290 Candidates:9993  (AssociatedToParty RouteToInbox)
Found:0 Checked:291 Candidates:9992  (AssociatedToParty RouteToUnAssiMail)
Found:0 Checked:292 Candidates:9991  (AssociatedToParty Salvage)
Found:0 Checked:293 Candidates:9990  (AssociatedToParty SendTransHigh)
Found:0 Checked:294 Candidates:9989  (AssociatedToParty SentToBillAudit)
Found:0 Checked:295 Candidates:9988  (AssociatedToParty SetupEbillParty)
Found:0 Checked:296 Candidates:9987  (AssociatedToParty SuspendedItem)
Found:0 Checked:297 Candidates:9986  (AssociatedToParty Suspense)
Found:0 Checked:298 Candidates:9985  (AssociatedToParty TLWCompleteReprble)
Found:0 Checked:299 Candidates:9984  (AssociatedToParty TLWCompleteTtlLoss)
Found:0 Checked:300 Candidates:9983  (AssociatedToParty UnsuspendedItem)
Found:0 Checked:301 Candidates:9982  (AssociatedToParty updtPymtVoid)
Found:0 Checked:302 Candidates:9981  (AssociatedToParty Vehicle)
Found:0 Checked:303 Candidates:9980  (AssociatedToParty VehicleEdited)
Found:0 Checked:304 Candidates:9979  (AssociatedToParty VehSlvgLogCompltd)
Found:0 Checked:305 Candidates:9978  (AssociatedToParty XPayAuthApprv)
Found:0 Checked:306 Candidates:9977  (AssociatedToParty XPayAuthLimit)
Found:0 Checked:307 Candidates:9976  (AssReRouteOffice AssociatedToClaim)
Found:0 Checked:308 Candidates:9975  (AssReRouteOffice AssociatedToParty)
Found:0 Checked:309 Candidates:9974  (AssReRouteOffice AssReRouteOffice)
Found:0 Checked:310 Candidates:9973  (AssReRouteOffice AssRouteToOffice)
Found:0 Checked:311 Candidates:9972  (AssReRouteOffice AssToFileHandler)
Found:0 Checked:312 Candidates:9971  (AssReRouteOffice AudatexReceipt)
Found:0 Checked:313 Candidates:9970  (AssReRouteOffice ChangedfromParty)
Found:0 Checked:314 Candidates:9969  (AssReRouteOffice ChangedtoParty)
Found:0 Checked:315 Candidates:9968  (AssReRouteOffice ClaimActivityLog)
Found:0 Checked:316 Candidates:9967  (AssReRouteOffice ClaimClosed)
Found:0 Checked:317 Candidates:9966  (AssReRouteOffice ClaimEdited)
Found:0 Checked:318 Candidates:9965  (AssReRouteOffice ClaimReopened)
Found:0 Checked:319 Candidates:9964  (AssReRouteOffice ClaimReported)
Found:0 Checked:320 Candidates:9963  (AssReRouteOffice ClaimSentToLFS)
Found:0 Checked:321 Candidates:9962  (AssReRouteOffice ClaimSetup)
Found:0 Checked:322 Candidates:9961  (AssReRouteOffice ClaimSummary)
Found:0 Checked:323 Candidates:9960  (AssReRouteOffice Contact)
Found:0 Checked:324 Candidates:9959  (AssReRouteOffice COPSCarAsgSentCRP)
Found:0 Checked:325 Candidates:9958  (AssReRouteOffice Correspondencsent)
Found:0 Checked:326 Candidates:9957  (AssReRouteOffice DocAddInProgress)
Found:0 Checked:327 Candidates:9956  (AssReRouteOffice DocumentAdded)
Found:0 Checked:328 Candidates:9955  (AssReRouteOffice FYISent)
Found:0 Checked:329 Candidates:9954  (AssReRouteOffice Inbound)
Found:0 Checked:330 Candidates:9953  (AssReRouteOffice InitialContact)
Found:0 Checked:331 Candidates:9952  (AssReRouteOffice ItmReAssToFHndler)
Found:0 Checked:332 Candidates:9951  (AssReRouteOffice LiabilityAnalysis)
Found:0 Checked:333 Candidates:9950  (AssReRouteOffice makePaymentSubmit)
Found:0 Checked:334 Candidates:9949  (AssReRouteOffice Medical)
Found:0 Checked:335 Candidates:9948  (AssReRouteOffice Medicare)
Found:0 Checked:336 Candidates:9947  (AssReRouteOffice MedicareNotify)
Found:0 Checked:337 Candidates:9946  (AssReRouteOffice MovefromParty)
Found:0 Checked:338 Candidates:9945  (AssReRouteOffice MovetoParty)
Found:0 Checked:339 Candidates:9944  (AssReRouteOffice Outbound)
Found:0 Checked:340 Candidates:9943  (AssReRouteOffice PartyAdded)
Found:0 Checked:341 Candidates:9942  (AssReRouteOffice PartyEdited)
Found:0 Checked:342 Candidates:9941  (AssReRouteOffice PerilActivity)
Found:0 Checked:343 Candidates:9940  (AssReRouteOffice PhvcNotice)
Found:0 Checked:344 Candidates:9939  (AssReRouteOffice RcvdTranscriptn)
Found:0 Checked:345 Candidates:9938  (AssReRouteOffice ReceiptItem)
Found:0 Checked:346 Candidates:9937  (AssReRouteOffice Referral)
Found:0 Checked:347 Candidates:9936  (AssReRouteOffice RefRemFromInbox)
Found:0 Checked:348 Candidates:9935  (AssReRouteOffice RefRespBTCD)
Found:0 Checked:349 Candidates:9934  (AssReRouteOffice RefRespFS)
Found:0 Checked:350 Candidates:9933  (AssReRouteOffice RefRespGeneral)
Found:0 Checked:351 Candidates:9932  (AssReRouteOffice RefRespPoliceFire)
Found:0 Checked:352 Candidates:9931  (AssReRouteOffice RefSentBTCD)
Found:0 Checked:353 Candidates:9930  (AssReRouteOffice RefSentFS)
Found:0 Checked:354 Candidates:9929  (AssReRouteOffice RefSentGeneral)
Found:0 Checked:355 Candidates:9928  (AssReRouteOffice RefSentPoliceFire)
Found:0 Checked:356 Candidates:9927  (AssReRouteOffice ReviewRemFromInbox)
Found:0 Checked:357 Candidates:9926  (AssReRouteOffice RouteToInbox)
