Pattern 0: (AudatexReceipt 0,3 RefCompPDVE)
Pattern 1: (ClaimEdited 0,10 IsoNoMatchRpt)
Pattern 2: (ClaimReopened 0,2 ClaimActivityLog)
Pattern 3: (ClaimReopened 0,1 Vehicle)
Pattern 4: (ClaimReported 0,2 AssociatedToClaim)
Pattern 5: (ClaimReported 1,2 RefRemFromInbox)
Pattern 6: (ClaimSetup 0,2 AssociatedToClaim)
Pattern 7: (ClaimSetup 0,2 RefRemFromInbox)
Pattern 8: (ClaimSummary 4,8 AssociatedToClaim)
Pattern 9: (ClaimSummary 0,6 XPayAuthApprv)
Pattern 10: (COPSCarAsgSentCRP 0,10 IsoNoMatchRpt)
Pattern 11: (DocAddInProgress 0,1 RefRespGeneral)
Pattern 12: (DocumentAdded 0,1 RefRespGeneral)
Pattern 13: (FYISent 11,14 ReceiptItem)
Pattern 14: (FYISent 20,23 RefSentCRD)
Pattern 15: (Inbound 45,46 RefSentAuthority)
Pattern 16: (InitialContact 0,10 IsoNoMatchRpt)
Pattern 17: (InitialContact 1,2 Medicare)
Pattern 18: (IsoDataErrRpt 14,15 ReviewRemFromInbox)
Pattern 19: (LiabilityAnalysis 0,10 IsoNoMatchRpt)
Pattern 20: (PerilActivity 0,10 IsoNoMatchRpt)
Pattern 21: (Perils/Reserves 25,28 AudatexReceipt)
Pattern 22: (Perils/Reserves 25,28 VehicleEdited)
Pattern 23: (ReceiptItem 35,37 ItemCompleteDenial)
Pattern 24: (ReceiptItem 35,37 ManualDeny)
Pattern 25: (Referral 1,2 Medicare)
Pattern 26: (Referral 1,2 RefRespGeneral)
Pattern 27: (RefRespAuthority 4,5 RefRemFromInbox)
Pattern 28: (RefRespGeneral 22,24 Outbound)
Pattern 29: (RefRespPD 22,26 RefRemFromInbox)
Pattern 30: (RefRespRCC 0,2 ClaimActivityLog)
Pattern 31: (RefRespRCC 0,2 DocAddInProgress)
Pattern 32: (RefRespRCC 0,2 DocumentAdded)
Pattern 33: (RefRespRCC 0,1 Inbound)
Pattern 34: (RefRespRCC 0,6 RefRemFromInbox)
Pattern 35: (RefSentAuthority 0,3 DocAddInProgress)
Pattern 36: (RefSentAuthority 0,3 DocumentAdded)
Pattern 37: (RefSentGeneral 0,2 RefRespGeneral)
Pattern 38: (RefSentSalvage 2,3 RefRemFromInbox)
Pattern 39: (RefSentSalvage 0,2 RefRespSalvage)
Pattern 40: (Rental 0,1 ReviewRemFromInbox)
Pattern 41: (ReturnFrBillAudit 0,2 ManualPayment)
Pattern 42: (RouteToInbox 1,3 AssociatedToClaim)
Pattern 43: (Salvage 0,2 Referral)
Pattern 44: (SentToBillAudit 0,2 ManualPayment)
Pattern 45: (SuspendedItem 1,2 AssociatedToClaim)
Pattern 46: (SuspendedItem 0,10 IsoNoMatchRpt)
Pattern 47: (SuspendedItem 19,21 ReturnFrBillAudit)
Pattern 48: (SuspendedItem 19,21 SentToBillAudit)
Pattern 49: (Suspense 19,21 ReturnFrBillAudit)
Pattern 50: (Suspense 19,21 SentToBillAudit)
Pattern 51: (TLWCompleteTtlLoss 0,3 RefRemFromInbox)
Pattern 52: (Vehicle 0,3 RefAssign)
Pattern 53: (VehicleEdited 20,29 AssociatedToClaim)
Pattern 54: (VehicleEdited 20,29 AssociatedToParty)
Pattern 55: (XPayAuthLimit 6,9 Vehicle)
Pattern 148: ((COPSCarAsgSentPDR 0,3 SuspendedItem) 3,6 (RefCompPDVE 0,1 ClaimEdited))
Pattern 149: ((COPSCarAsgSentPDR 0,3 SuspendedItem) 3,6 (RefCompPDVE 0,1 LiabilityAnalysis))
Pattern 150: (ClaimReported 41,45 (RefCompPDVE 1,4 Suspense))
Pattern 151: (AssToFileHandler 0,2 (RefRemFromInbox 1,2 AssociatedToClaim))
Pattern 152: (ClaimActivityLog 0,2 (RefRemFromInbox 1,2 AssociatedToClaim))
Pattern 153: (InitialContact 0,1 (RefRemFromInbox 1,2 AssociatedToClaim))
Pattern 154: (Referral 0,2 (RefRemFromInbox 1,2 AssociatedToClaim))
Pattern 155: (UnsuspendedItem 33,35 (RefRemFromInbox 0,3 ClaimActivityLog))
Pattern 156: (AssToFileHandler 0,3 (RefRemFromInbox 0,2 Inbound))
Pattern 157: (InitialContact 0,2 (RefRemFromInbox 0,2 Inbound))
Pattern 158: (SuspendedItem 0,3 (RefRemFromInbox 0,2 Inbound))
Pattern 159: (Referral 1,3 (RefRemFromInbox 0,2 ReviewRemFromInbox))
Pattern 160: ((RefRespAuthority 0,4 DocAddInProgress) 0,2 ClaimActivityLog)
Pattern 161: ((RefRespAuthority 0,4 DocAddInProgress) 0,2 FYISent)
Pattern 162: ((RefRespAuthority 0,4 DocumentAdded) 0,2 ClaimActivityLog)
Pattern 163: ((RefRespAuthority 0,4 DocumentAdded) 0,2 FYISent)
Pattern 164: ((RefRespRental 0,1 RefRemFromInbox) 10,11 Correspondencsent)
Pattern 165: ((RefRespRental 0,1 RefRemFromInbox) 24,25 DocAddInProgress)
Pattern 166: ((RefRespRental 0,1 RefRemFromInbox) 24,25 DocumentAdded)
Pattern 167: ((RefSentGeneral 44,45 DocAddInProgress) 0,2 ClaimActivityLog)
Pattern 168: ((RefSentGeneral 44,45 DocAddInProgress) 1,4 Vehicle)
Pattern 169: ((RefSentGeneral 44,45 DocumentAdded) 0,2 ClaimActivityLog)
Pattern 170: ((RefSentGeneral 44,45 DocumentAdded) 1,4 Vehicle)
Pattern 171: ((RefSentGeneral 0,3 RefRemFromInbox) 1,3 ClaimActivityLog)
Pattern 172: ((RefSentGeneral 22,24 RefSentPDVE) 1,2 Vehicle)
Pattern 173: (Vehicle 1,4 (RefSentPD 21,22 RefSentPDVE))
Pattern 174: ((RefSentPDVE 1,2 Correspondencsent) 5,6 AudatexReceipt)
Pattern 175: ((RefSentPDVE 1,2 Correspondencsent) 0,5 Vehicle)
Pattern 176: ((RefSentPDVE 1,2 Correspondencsent) 5,6 VehicleEdited)
Pattern 177: ((Rental 23,24 RefRemFromInbox) 23,24 Rental)
Pattern 178: ((AudatexReceipt 0,1 Referral) 23,24 (Rental 23,24 RefRemFromInbox))
Pattern 179: ((Rental 23,24 RefRemFromInbox) 23,24 (Rental 23,24 RefRemFromInbox))
Pattern 180: ((Rental 23,24 RefRemFromInbox) 23,24 (Rental 23,24 RefRemFromInbox))
Pattern 181: (AssReRouteQueue 1,8 (VehicleEdited 0,1 ClaimEdited))
Pattern 182: (Referral 0,6 (VehicleEdited 0,1 ClaimEdited))
Pattern 183: (RefSentPDVE 0,6 (VehicleEdited 0,1 ClaimEdited))
Pattern 184: ((COPSCarAsgSentPDR 0,3 SuspendedItem) 3,6 (VehicleEdited 0,1 ClaimEdited))
Pattern 185: (ClaimSetup 18,22 (VehicleEdited 1,3 Correspondencsent))
Pattern 186: ((VehicleEdited 1,3 Correspondencsent) 0,2 Vehicle)
Pattern 187: (AssReRouteQueue 1,8 (VehicleEdited 0,3 LiabilityAnalysis))
Pattern 188: (Referral 3,6 (VehicleEdited 0,3 LiabilityAnalysis))
Pattern 189: (RefSentPDVE 3,6 (VehicleEdited 0,3 LiabilityAnalysis))
Pattern 190: ((COPSCarAsgSentPDR 0,3 SuspendedItem) 3,6 (VehicleEdited 0,3 LiabilityAnalysis))
Pattern 191: ((VehicleEdited 46,47 makePaymentSubmit) 0,3 ClaimActivityLog)
Pattern 192: (Vehicle 1,2 (VehicleEdited 46,47 makePaymentSubmit))
Pattern 193: (Inbound 16,18 (Vehicle 1,5 (AudatexReceipt 19,21 ItmReAssToFHndler)))
Pattern 194: ((Vehicle 1,5 (AudatexReceipt 19,21 ItmReAssToFHndler)) 0,2 RefRemFromInbox)
Pattern 195: ((Vehicle 1,5 (AudatexReceipt 19,21 ItmReAssToFHndler)) 0,1 RefSentPDVE)
Pattern 196: ((Vehicle 1,5 (AudatexReceipt 19,21 ItmReAssToFHndler)) 0,1 SuspendedItem)
Pattern 197: (UnsuspendedItem 8,10 (Vehicle 1,5 (AudatexReceipt 19,21 ItmReAssToFHndler)))
Pattern 198: ((RefSentPDVE 24,29 (AudatexReceipt 0,1 Referral)) 0,1 ClaimActivityLog)
Pattern 199: (SuspendedItem 20,22 (RefSentPDVE 24,29 (AudatexReceipt 0,1 Referral)))
Pattern 200: (((AudatexReceipt 0,1 Referral) 23,24 Rental) 27,30 FYISent)
Pattern 201: (UnsuspendedItem 11,12 ((AudatexReceipt 0,1 Referral) 23,24 Rental))
Pattern 202: (Vehicle 0,1 ((AudatexReceipt 0,1 Referral) 23,24 Rental))
Pattern 203: (SuspendedItem 29,32 ((AudatexReceipt 0,1 Referral) 1,3 Suspense))
Pattern 204: (Suspense 29,32 ((AudatexReceipt 0,1 Referral) 1,3 Suspense))
Pattern 205: ((UnsuspendedItem 11,13 (AudatexReceipt 0,1 Referral)) 20,21 Referral)
Pattern 206: (((ClaimActivityLog 1,3 RefRemFromInbox) 0,1 DocAddInProgress) 0,2 ClaimActivityLog)
Pattern 207: (((ClaimActivityLog 1,3 RefRemFromInbox) 0,1 DocumentAdded) 0,2 ClaimActivityLog)
Pattern 208: (SuspendedItem 20,22 (RefSentPDVE 24,25 (ClaimActivityLog 1,3 RefRemFromInbox)))
Pattern 209: (((DocAddInProgress 1,3 DocAddInProgress) 0,4 ClaimActivityLog) 0,3 ClaimActivityLog)
Pattern 210: (Rental 21,22 ((DocAddInProgress 1,3 DocAddInProgress) 1,3 DocAddInProgress))
Pattern 211: (((DocAddInProgress 1,3 DocAddInProgress) 1,3 DocumentAdded) 0,3 ClaimActivityLog)
Pattern 212: (Rental 21,22 ((DocAddInProgress 1,3 DocAddInProgress) 1,3 DocumentAdded))
Pattern 213: (Rental 21,22 ((DocAddInProgress 1,3 DocAddInProgress) 0,5 Referral))
Pattern 214: (((DocAddInProgress 1,3 DocumentAdded) 0,4 ClaimActivityLog) 0,3 ClaimActivityLog)
Pattern 215: (((DocAddInProgress 1,3 DocumentAdded) 1,3 DocAddInProgress) 0,3 ClaimActivityLog)
Pattern 216: (Rental 21,22 ((DocAddInProgress 1,3 DocumentAdded) 1,3 DocAddInProgress))
Pattern 217: (((DocAddInProgress 1,3 DocumentAdded) 1,3 DocumentAdded) 0,3 ClaimActivityLog)
Pattern 218: (Rental 21,22 ((DocAddInProgress 1,3 DocumentAdded) 1,3 DocumentAdded))
Pattern 219: (Rental 21,22 ((DocAddInProgress 1,3 DocumentAdded) 0,5 Referral))
Pattern 220: (((DocAddInProgress 1,2 RefRemFromInbox) 1,2 ClaimActivityLog) 0,3 ClaimActivityLog)
Pattern 221: (AudatexReceipt 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox)))
Pattern 222: ((Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox)) 0,2 ClaimActivityLog)
Pattern 223: (SuspendedItem 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox)))
Pattern 224: (Suspense 21,22 (Referral 24,25 (DocAddInProgress 1,2 RefRemFromInbox)))
Pattern 225: ((Rental 22,27 (DocAddInProgress 1,2 RefRemFromInbox)) 1,2 ClaimActivityLog)
Pattern 226: ((Rental 22,27 (DocAddInProgress 1,2 RefRemFromInbox)) 0,3 FYISent)
Pattern 227: ((Vehicle 0,1 (DocAddInProgress 1,2 RefRemFromInbox)) 1,2 ClaimActivityLog)
Pattern 228: (((DocumentAdded 1,3 DocAddInProgress) 0,4 ClaimActivityLog) 0,3 ClaimActivityLog)
Pattern 229: (((DocumentAdded 1,3 DocAddInProgress) 1,3 DocAddInProgress) 0,3 ClaimActivityLog)
Pattern 230: (Rental 21,22 ((DocumentAdded 1,3 DocAddInProgress) 1,3 DocAddInProgress))
Pattern 231: (((DocumentAdded 1,3 DocAddInProgress) 1,3 DocumentAdded) 0,3 ClaimActivityLog)
Pattern 232: (Rental 21,22 ((DocumentAdded 1,3 DocAddInProgress) 1,3 DocumentAdded))
Pattern 233: (Rental 21,22 ((DocumentAdded 1,3 DocAddInProgress) 0,5 Referral))
Pattern 234: (((DocumentAdded 1,3 DocumentAdded) 0,4 ClaimActivityLog) 0,3 ClaimActivityLog)
Pattern 235: (((DocumentAdded 1,3 DocumentAdded) 1,3 DocAddInProgress) 0,3 ClaimActivityLog)
Pattern 236: (Rental 21,22 ((DocumentAdded 1,3 DocumentAdded) 1,3 DocAddInProgress))
Pattern 237: (Rental 21,22 ((DocumentAdded 1,3 DocumentAdded) 1,3 DocumentAdded))
Pattern 238: (Rental 21,22 ((DocumentAdded 1,3 DocumentAdded) 0,5 Referral))
Pattern 239: (((DocumentAdded 1,2 RefRemFromInbox) 1,2 ClaimActivityLog) 0,3 ClaimActivityLog)
Pattern 240: (AudatexReceipt 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox)))
Pattern 241: ((Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox)) 0,2 ClaimActivityLog)
Pattern 242: (SuspendedItem 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox)))
Pattern 243: (Suspense 21,22 (Referral 24,25 (DocumentAdded 1,2 RefRemFromInbox)))
Pattern 244: ((Rental 22,27 (DocumentAdded 1,2 RefRemFromInbox)) 1,2 ClaimActivityLog)
Pattern 245: ((Rental 22,27 (DocumentAdded 1,2 RefRemFromInbox)) 0,3 FYISent)
Pattern 246: ((Vehicle 0,1 (DocumentAdded 1,2 RefRemFromInbox)) 1,2 ClaimActivityLog)
Pattern 247: (Vehicle 20,22 ((FYISent 0,3 AssReRouteQueue) 0,2 ClaimActivityLog))
Pattern 248: ((Inbound 1,2 (FYISent 0,4 LiabilityAnalysis)) 0,1 AudatexReceipt)
Pattern 249: (UnsuspendedItem 11,12 (AudatexReceipt 20,21 (ItmReAssToFHndler 0,5 RefRemFromInbox)))
Pattern 250: (((ItmReAssToFHndler 0,5 RefRemFromInbox) 1,6 Vehicle) 22,25 AudatexReceipt)
Pattern 251: (RefSentPD 21,24 ((ItmReAssToFHndler 0,5 RefRemFromInbox) 1,6 Vehicle))
Pattern 252: (Suspense 21,24 ((ItmReAssToFHndler 0,5 RefRemFromInbox) 1,6 Vehicle))
Pattern 253: (Vehicle 1,4 (RefSentPD 20,21 (ItmReAssToFHndler 0,3 SuspendedItem)))
Pattern 254: (ClaimReported 0,9 (PerilActivity 3,5 (Medical 0,2 Suspense)))
Pattern 255: (SuspendedItem 22,26 ((RefRemFromInbox 0,3 ClaimActivityLog) 0,3 ClaimActivityLog))
Pattern 256: ((ClaimActivityLog 1,3 (RefRemFromInbox 0,3 ClaimActivityLog)) 0,3 ClaimActivityLog)
Pattern 257: ((Rental 23,24 (RefRemFromInbox 0,3 ClaimActivityLog)) 0,3 ClaimActivityLog)
Pattern 258: (Rental 11,14 (UnsuspendedItem 33,35 (RefRemFromInbox 0,3 ClaimActivityLog)))
Pattern 259: (((RefSentGeneral 0,3 RefRemFromInbox) 1,3 ClaimActivityLog) 0,2 Vehicle)
Pattern 260: (((RefSentGeneral 22,24 RefSentPDVE) 1,2 Vehicle) 22,25 AudatexReceipt)
Pattern 261: (((RefSentGeneral 22,24 RefSentPDVE) 1,2 Vehicle) 22,25 Referral)
Pattern 262: (UnsuspendedItem 11,12 ((AudatexReceipt 0,1 Referral) 23,24 (Rental 23,24 RefRemFromInbox)))
Pattern 263: (Vehicle 0,1 ((AudatexReceipt 0,1 Referral) 23,24 (Rental 23,24 RefRemFromInbox)))
Pattern 264: (UnsuspendedItem 8,10 ((Vehicle 1,5 (AudatexReceipt 19,21 ItmReAssToFHndler)) 0,2 RefRemFromInbox))
Pattern 265: (UnsuspendedItem 11,12 (((AudatexReceipt 0,1 Referral) 23,24 Rental) 27,30 FYISent))
Pattern 266: (Vehicle 0,1 (((AudatexReceipt 0,1 Referral) 23,24 Rental) 27,30 FYISent))
Pattern 267: (UnsuspendedItem 10,11 (Vehicle 0,1 ((AudatexReceipt 0,1 Referral) 23,24 Rental)))
Pattern 268: (Rental 21,22 (((DocAddInProgress 1,3 DocAddInProgress) 0,4 ClaimActivityLog) 0,3 ClaimActivityLog))
Pattern 269: (Rental 21,22 (((DocAddInProgress 1,3 DocAddInProgress) 1,3 DocAddInProgress) 0,3 ClaimActivityLog))
Pattern 270: (Rental 21,22 (((DocAddInProgress 1,3 DocAddInProgress) 1,3 DocumentAdded) 0,3 ClaimActivityLog))
Pattern 271: (Rental 21,22 (((DocAddInProgress 1,3 DocumentAdded) 0,4 ClaimActivityLog) 0,3 ClaimActivityLog))
Pattern 272: (Rental 21,22 (((DocAddInProgress 1,3 DocumentAdded) 1,3 DocAddInProgress) 0,3 ClaimActivityLog))
