Starting at 2016-03-11 16:21:27.821294...

	
Parameters:	
Table:claim_events_simple	
Limit Infrequent Events: 1	
Limit Infrequent Pairs: 1	
Prune KL-Divergence: False	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.001	

Found:0 Checked:1 Candidates:10282  (AllegedRemoved AssRouteToOffice)
Found:195 Checked:8694 Candidates:73893  (RouteToInbox Inbound)
Found:195 Checked:8695 Candidates:73892  (RouteToInbox InitialContact)
Found:195 Checked:8696 Candidates:73891  (RouteToInbox IsoAutUpdRpt)
Found:195 Checked:8697 Candidates:73890  (RouteToInbox IsoDataErrRpt)
Found:195 Checked:8698 Candidates:73889  (RouteToInbox IsoMatchRpt)
Found:195 Checked:8699 Candidates:73888  (RouteToInbox IsoNoMatchRpt)
Found:195 Checked:8700 Candidates:73887  (RouteToInbox ItemCompleteDenial)
Found:195 Checked:8701 Candidates:73886  (RouteToInbox ItmReAssToFHndler)
Found:195 Checked:8702 Candidates:73885  (RouteToInbox LiabilityAnalysis)
Found:195 Checked:8703 Candidates:73884  (RouteToInbox makePaymentSubmit)
Found:195 Checked:8704 Candidates:73883  (RouteToInbox ManualDeny)
Found:195 Checked:8705 Candidates:73882  (RouteToInbox ManualPayment)
Found:195 Checked:8706 Candidates:73881  (RouteToInbox Medical)
Found:195 Checked:8707 Candidates:73880  (RouteToInbox Medicare)
Found:195 Checked:8708 Candidates:73879  (RouteToInbox MedicareNotify)
Found:195 Checked:8709 Candidates:73878  (RouteToInbox MovefromClaim)
Found:195 Checked:8710 Candidates:73877  (RouteToInbox MoveFromInvstigatn)
Found:195 Checked:8711 Candidates:73876  (RouteToInbox MovefromParty)
Found:195 Checked:8712 Candidates:73875  (RouteToInbox MovetoClaim)
Found:195 Checked:8713 Candidates:73874  (RouteToInbox MoveToInvestigatn)
Found:195 Checked:8714 Candidates:73873  (RouteToInbox MovetoParty)
Found:195 Checked:8715 Candidates:73872  (RouteToInbox MultDocAddBegin)
Found:195 Checked:8716 Candidates:73871  (RouteToInbox MultipleDocAdded)
Found:195 Checked:8717 Candidates:73870  (RouteToInbox MutliEOBSent)
Found:195 Checked:8718 Candidates:73869  (RouteToInbox NoteTrnsFrm)
Found:195 Checked:8719 Candidates:73868  (RouteToInbox Outbound)
Found:195 Checked:8720 Candidates:73867  (RouteToInbox PartyAdded)
Found:195 Checked:8721 Candidates:73866  (RouteToInbox PartyEdited)
Found:195 Checked:8722 Candidates:73865  (RouteToInbox PartyMoved)
Found:195 Checked:8723 Candidates:73864  (RouteToInbox PaymentBlockSet)
Found:195 Checked:8724 Candidates:73863  (RouteToInbox PerilActivity)
Found:195 Checked:8725 Candidates:73862  (RouteToInbox Perils/Reserves)
Found:195 Checked:8726 Candidates:73861  (RouteToInbox PhvcNotice)
Found:195 Checked:8727 Candidates:73860  (RouteToInbox PolicyNumberChange)
Found:195 Checked:8728 Candidates:73859  (RouteToInbox RcvdTranscriptn)
Found:195 Checked:8729 Candidates:73858  (RouteToInbox ReasonforEscalation)
Found:195 Checked:8730 Candidates:73857  (RouteToInbox ReceiptItem)
Found:195 Checked:8731 Candidates:73856  (RouteToInbox RecordedStatementSu)
Found:195 Checked:8732 Candidates:73855  (RouteToInbox recordManualPymt)
Found:195 Checked:8733 Candidates:73854  (RouteToInbox RefAssign)
Found:195 Checked:8734 Candidates:73853  (RouteToInbox RefCompPDVE)
Found:195 Checked:8735 Candidates:73852  (RouteToInbox RefCompRCC)
Found:195 Checked:8736 Candidates:73851  (RouteToInbox Referral)
Found:195 Checked:8737 Candidates:73850  (RouteToInbox RefRemFromInbox)
Found:195 Checked:8738 Candidates:73849  (RouteToInbox RefRespAuthority)
Found:195 Checked:8739 Candidates:73848  (RouteToInbox RefRespBTCD)
Found:195 Checked:8740 Candidates:73847  (RouteToInbox RefRespCSLT)
Found:195 Checked:8741 Candidates:73846  (RouteToInbox RefRespFS)
Found:195 Checked:8742 Candidates:73845  (RouteToInbox RefRespGeneral)
Found:195 Checked:8743 Candidates:73844  (RouteToInbox RefRespPD)
Found:195 Checked:8744 Candidates:73843  (RouteToInbox RefRespPDVE)
Found:195 Checked:8745 Candidates:73842  (RouteToInbox RefRespPoliceFire)
Found:195 Checked:8746 Candidates:73841  (RouteToInbox RefRespRCC)
Found:195 Checked:8747 Candidates:73840  (RouteToInbox RefRespRental)
Found:195 Checked:8748 Candidates:73839  (RouteToInbox RefRespSalvage)
Found:195 Checked:8749 Candidates:73838  (RouteToInbox RefSentAuthority)
Found:195 Checked:8750 Candidates:73837  (RouteToInbox RefSentBTCD)
Found:195 Checked:8751 Candidates:73836  (RouteToInbox RefSentCRD)
Found:195 Checked:8752 Candidates:73835  (RouteToInbox RefSentCSLT)
Found:195 Checked:8753 Candidates:73834  (RouteToInbox RefSentFS)
Found:195 Checked:8754 Candidates:73833  (RouteToInbox RefSentGeneral)
Found:195 Checked:8755 Candidates:73832  (RouteToInbox RefSentPD)
Found:195 Checked:8756 Candidates:73831  (RouteToInbox RefSentPDVE)
Found:195 Checked:8757 Candidates:73830  (RouteToInbox RefSentPoliceFire)
Found:195 Checked:8758 Candidates:73829  (RouteToInbox RefSentRCC)
Found:195 Checked:8759 Candidates:73828  (RouteToInbox RefSentRental)
Found:195 Checked:8760 Candidates:73827  (RouteToInbox RefSentSalvage)
Found:195 Checked:8761 Candidates:73826  (RouteToInbox Rental)
Found:195 Checked:8762 Candidates:73825  (RouteToInbox ReturnFrBillAudit)
Found:195 Checked:8763 Candidates:73824  (RouteToInbox ReviewRemFromInbox)
Distribution for (RouteToInbox 0,4 ReviewRemFromInbox)
N_a: 185, N_ab: 79, Critical interval: ((0, 4)), P(success): 0.3064, p_value: 0.0004

Found:196 Checked:8764 Candidates:74449  (RouteToInbox RouteToInbox)
Found:196 Checked:8765 Candidates:74448  (RouteToInbox RouteToUnAssiMail)
Found:196 Checked:8766 Candidates:74447  (RouteToInbox Salvage)
Found:196 Checked:8767 Candidates:74446  (RouteToInbox SendTransHigh)
Found:196 Checked:8768 Candidates:74445  (RouteToInbox SentToBillAudit)
Found:196 Checked:8769 Candidates:74444  (RouteToInbox SetupEbillParty)
Found:196 Checked:8770 Candidates:74443  (RouteToInbox SuspendedItem)
Found:196 Checked:8771 Candidates:74442  (RouteToInbox Suspense)
Distribution for (RouteToInbox 1,2 Suspense)
N_a: 134, N_ab: 34, Critical interval: ((1, 2)), P(success): 0.1405, p_value: 0.0004

Found:197 Checked:8772 Candidates:75017  (RouteToInbox TLWCompleteReprble)
Found:197 Checked:8773 Candidates:75016  (RouteToInbox TLWCompleteTtlLoss)
Found:197 Checked:8774 Candidates:75015  (RouteToInbox UnsuspendedItem)
Found:197 Checked:8775 Candidates:75014  (RouteToInbox updtPymtVoid)
Found:197 Checked:8776 Candidates:75013  (RouteToInbox Vehicle)
Found:197 Checked:8777 Candidates:75012  (RouteToInbox VehicleEdited)
Found:197 Checked:8778 Candidates:75011  (RouteToInbox VehSlvgLogCompltd)
Found:197 Checked:8779 Candidates:75010  (RouteToInbox XPayAuthApprv)
Found:197 Checked:8780 Candidates:75009  (RouteToInbox XPayAuthEscalate)
Found:197 Checked:8781 Candidates:75008  (RouteToInbox XPayAuthLimit)
Found:197 Checked:8782 Candidates:75007  (RouteToUnAssiMail AssociatedToClaim)
Found:197 Checked:8783 Candidates:75006  (RouteToUnAssiMail AssociatedToParty)
Found:197 Checked:8784 Candidates:75005  (RouteToUnAssiMail AssReRouteOffice)
Found:197 Checked:8785 Candidates:75004  (RouteToUnAssiMail AssReRouteQueue)
Found:197 Checked:8786 Candidates:75003  (RouteToUnAssiMail AssRouteToOffice)
Found:197 Checked:8787 Candidates:75002  (RouteToUnAssiMail AssToFileHandler)
Found:197 Checked:8788 Candidates:75001  (RouteToUnAssiMail AudatexReceipt)
Found:197 Checked:8789 Candidates:75000  (RouteToUnAssiMail ChangedfromParty)
Found:197 Checked:8790 Candidates:74999  (RouteToUnAssiMail ChangedtoParty)
Found:197 Checked:8791 Candidates:74998  (RouteToUnAssiMail ClaimActivityLog)
Found:197 Checked:8792 Candidates:74997  (RouteToUnAssiMail ClaimClosed)
Found:197 Checked:8793 Candidates:74996  (RouteToUnAssiMail ClaimEdited)
Found:197 Checked:8794 Candidates:74995  (RouteToUnAssiMail ClaimReopened)
Found:197 Checked:8795 Candidates:74994  (RouteToUnAssiMail ClaimReported)
Found:197 Checked:8796 Candidates:74993  (RouteToUnAssiMail ClaimSentToLFS)
Found:197 Checked:8797 Candidates:74992  (RouteToUnAssiMail ClaimSetup)
Found:197 Checked:8798 Candidates:74991  (RouteToUnAssiMail ClaimSummary)
Found:197 Checked:8799 Candidates:74990  (RouteToUnAssiMail Contact)
Found:197 Checked:8800 Candidates:74989  (RouteToUnAssiMail COPSCarAsgSentCRP)
Found:197 Checked:8801 Candidates:74988  (RouteToUnAssiMail Correspondencsent)
Found:197 Checked:8802 Candidates:74987  (RouteToUnAssiMail DocAddInProgress)
Found:197 Checked:8803 Candidates:74986  (RouteToUnAssiMail DocumentAdded)
Found:197 Checked:8804 Candidates:74985  (RouteToUnAssiMail DocumentFiled)
Found:197 Checked:8805 Candidates:74984  (RouteToUnAssiMail FYISent)
Found:197 Checked:8806 Candidates:74983  (RouteToUnAssiMail Inbound)
Found:197 Checked:8807 Candidates:74982  (RouteToUnAssiMail InitialContact)
Found:197 Checked:8808 Candidates:74981  (RouteToUnAssiMail IsoDataErrRpt)
Found:197 Checked:8809 Candidates:74980  (RouteToUnAssiMail ItmReAssToFHndler)
Found:197 Checked:8810 Candidates:74979  (RouteToUnAssiMail LiabilityAnalysis)
Found:197 Checked:8811 Candidates:74978  (RouteToUnAssiMail makePaymentSubmit)
Found:197 Checked:8812 Candidates:74977  (RouteToUnAssiMail Medical)
Found:197 Checked:8813 Candidates:74976  (RouteToUnAssiMail Medicare)
Found:197 Checked:8814 Candidates:74975  (RouteToUnAssiMail MedicareNotify)
Found:197 Checked:8815 Candidates:74974  (RouteToUnAssiMail MovefromParty)
Found:197 Checked:8816 Candidates:74973  (RouteToUnAssiMail MovetoParty)
Found:197 Checked:8817 Candidates:74972  (RouteToUnAssiMail Outbound)
Found:197 Checked:8818 Candidates:74971  (RouteToUnAssiMail PartyAdded)
Found:197 Checked:8819 Candidates:74970  (RouteToUnAssiMail PartyEdited)
Found:197 Checked:8820 Candidates:74969  (RouteToUnAssiMail PerilActivity)
Found:197 Checked:8821 Candidates:74968  (RouteToUnAssiMail PhvcNotice)
Found:197 Checked:8822 Candidates:74967  (RouteToUnAssiMail RcvdTranscriptn)
Found:197 Checked:8823 Candidates:74966  (RouteToUnAssiMail ReceiptItem)
Found:197 Checked:8824 Candidates:74965  (RouteToUnAssiMail Referral)
Found:197 Checked:8825 Candidates:74964  (RouteToUnAssiMail RefRemFromInbox)
Found:197 Checked:8826 Candidates:74963  (RouteToUnAssiMail RefRespBTCD)
Found:197 Checked:8827 Candidates:74962  (RouteToUnAssiMail RefRespFS)
Found:197 Checked:8828 Candidates:74961  (RouteToUnAssiMail RefRespGeneral)
Found:197 Checked:8829 Candidates:74960  (RouteToUnAssiMail RefRespPoliceFire)
Found:197 Checked:8830 Candidates:74959  (RouteToUnAssiMail RefSentBTCD)
Found:197 Checked:8831 Candidates:74958  (RouteToUnAssiMail RefSentFS)
Found:197 Checked:8832 Candidates:74957  (RouteToUnAssiMail RefSentGeneral)
Found:197 Checked:8833 Candidates:74956  (RouteToUnAssiMail RefSentPoliceFire)
Found:197 Checked:8834 Candidates:74955  (RouteToUnAssiMail Rental)
Found:197 Checked:8835 Candidates:74954  (RouteToUnAssiMail ReviewRemFromInbox)
Found:197 Checked:8836 Candidates:74953  (RouteToUnAssiMail RouteToInbox)
Found:197 Checked:8837 Candidates:74952  (RouteToUnAssiMail RouteToUnAssiMail)
Found:197 Checked:8838 Candidates:74951  (RouteToUnAssiMail SendTransHigh)
Found:197 Checked:8839 Candidates:74950  (RouteToUnAssiMail SuspendedItem)
Found:197 Checked:8840 Candidates:74949  (RouteToUnAssiMail Suspense)
Found:197 Checked:8841 Candidates:74948  (RouteToUnAssiMail UnsuspendedItem)
Found:197 Checked:8842 Candidates:74947  (RouteToUnAssiMail Vehicle)
Found:197 Checked:8843 Candidates:74946  (RouteToUnAssiMail VehicleEdited)
Found:197 Checked:8844 Candidates:74945  (Salvage AssociatedToClaim)
Found:197 Checked:8845 Candidates:74944  (Salvage AssociatedToParty)
Found:197 Checked:8846 Candidates:74943  (Salvage AssReRouteQueue)
Found:197 Checked:8847 Candidates:74942  (Salvage AssRouteToOffice)
Found:197 Checked:8848 Candidates:74941  (Salvage AssToFileHandler)
Found:197 Checked:8849 Candidates:74940  (Salvage AudatexReceipt)
Found:197 Checked:8850 Candidates:74939  (Salvage ClaimActivityLog)
Found:197 Checked:8851 Candidates:74938  (Salvage ClaimClosed)
Found:197 Checked:8852 Candidates:74937  (Salvage ClaimEdited)
Found:197 Checked:8853 Candidates:74936  (Salvage ClaimReported)
Found:197 Checked:8854 Candidates:74935  (Salvage ClaimSetup)
Found:197 Checked:8855 Candidates:74934  (Salvage Contact)
Found:197 Checked:8856 Candidates:74933  (Salvage COPSCarAsgSentCRP)
Found:197 Checked:8857 Candidates:74932  (Salvage COPSCarAsgSentPDR)
Found:197 Checked:8858 Candidates:74931  (Salvage Correspondencsent)
Found:197 Checked:8859 Candidates:74930  (Salvage DocAddInProgress)
Found:197 Checked:8860 Candidates:74929  (Salvage DocumentAdded)
Found:197 Checked:8861 Candidates:74928  (Salvage DocumentFiled)
Found:197 Checked:8862 Candidates:74927  (Salvage FYISent)
Found:197 Checked:8863 Candidates:74926  (Salvage Inbound)
Found:197 Checked:8864 Candidates:74925  (Salvage InitialContact)
Found:197 Checked:8865 Candidates:74924  (Salvage ItmReAssToFHndler)
Found:197 Checked:8866 Candidates:74923  (Salvage LiabilityAnalysis)
Found:197 Checked:8867 Candidates:74922  (Salvage MultDocAddBegin)
Found:197 Checked:8868 Candidates:74921  (Salvage MultipleDocAdded)
Found:197 Checked:8869 Candidates:74920  (Salvage Outbound)
Found:197 Checked:8870 Candidates:74919  (Salvage OwRetTLWComTtlLoss)
Found:197 Checked:8871 Candidates:74918  (Salvage PartyEdited)
Found:197 Checked:8872 Candidates:74917  (Salvage PerilActivity)
Found:197 Checked:8873 Candidates:74916  (Salvage ReceiptItem)
Found:197 Checked:8874 Candidates:74915  (Salvage RefAssign)
Found:197 Checked:8875 Candidates:74914  (Salvage RefCompPDVE)
Found:197 Checked:8876 Candidates:74913  (Salvage Referral)
Found:197 Checked:8877 Candidates:74912  (Salvage RefRemFromInbox)
Found:197 Checked:8878 Candidates:74911  (Salvage RefRespAuthority)
Found:197 Checked:8879 Candidates:74910  (Salvage RefRespRental)
Found:197 Checked:8880 Candidates:74909  (Salvage RefRespSalvage)
Found:197 Checked:8881 Candidates:74908  (Salvage RefSentAuthority)
Found:197 Checked:8882 Candidates:74907  (Salvage RefSentCRD)
Found:197 Checked:8883 Candidates:74906  (Salvage RefSentPDVE)
Found:197 Checked:8884 Candidates:74905  (Salvage RefSentRental)
Found:197 Checked:8885 Candidates:74904  (Salvage RefSentSalvage)
Found:197 Checked:8886 Candidates:74903  (Salvage Rental)
Found:197 Checked:8887 Candidates:74902  (Salvage ReviewRemFromInbox)
Found:197 Checked:8888 Candidates:74901  (Salvage RouteToInbox)
Found:197 Checked:8889 Candidates:74900  (Salvage Salvage)
Found:197 Checked:8890 Candidates:74899  (Salvage SuspendedItem)
Found:197 Checked:8891 Candidates:74898  (Salvage Suspense)
Found:197 Checked:8892 Candidates:74897  (Salvage TLWCompleteTtlLoss)
Found:197 Checked:8893 Candidates:74896  (Salvage UnsuspendedItem)
Found:197 Checked:8894 Candidates:74895  (Salvage Vehicle)
Found:197 Checked:8895 Candidates:74894  (Salvage VehicleEdited)
Found:197 Checked:8896 Candidates:74893  (Salvage VehSlvgLogCompltd)
Found:197 Checked:8897 Candidates:74892  (SendTransHigh AssociatedToClaim)
Found:197 Checked:8898 Candidates:74891  (SendTransHigh AssociatedToParty)
Found:197 Checked:8899 Candidates:74890  (SendTransHigh AssReRouteOffice)
Found:197 Checked:8900 Candidates:74889  (SendTransHigh AssRouteToOffice)
Found:197 Checked:8901 Candidates:74888  (SendTransHigh AssToFileHandler)
Found:197 Checked:8902 Candidates:74887  (SendTransHigh AudatexReceipt)
Found:197 Checked:8903 Candidates:74886  (SendTransHigh ChangedfromParty)
Found:197 Checked:8904 Candidates:74885  (SendTransHigh ChangedtoParty)
Found:197 Checked:8905 Candidates:74884  (SendTransHigh ClaimActivityLog)
Found:197 Checked:8906 Candidates:74883  (SendTransHigh ClaimClosed)
Found:197 Checked:8907 Candidates:74882  (SendTransHigh ClaimEdited)
Found:197 Checked:8908 Candidates:74881  (SendTransHigh ClaimReopened)
Found:197 Checked:8909 Candidates:74880  (SendTransHigh ClaimReported)
Found:197 Checked:8910 Candidates:74879  (SendTransHigh ClaimSentToLFS)
Found:197 Checked:8911 Candidates:74878  (SendTransHigh ClaimSetup)
Found:197 Checked:8912 Candidates:74877  (SendTransHigh ClaimSummary)
Found:197 Checked:8913 Candidates:74876  (SendTransHigh Contact)
Found:197 Checked:8914 Candidates:74875  (SendTransHigh COPSCarAsgSentCRP)
Found:197 Checked:8915 Candidates:74874  (SendTransHigh Correspondencsent)
Found:197 Checked:8916 Candidates:74873  (SendTransHigh DocAddInProgress)
Found:197 Checked:8917 Candidates:74872  (SendTransHigh DocumentAdded)
Found:197 Checked:8918 Candidates:74871  (SendTransHigh FYISent)
Found:197 Checked:8919 Candidates:74870  (SendTransHigh Inbound)
Found:197 Checked:8920 Candidates:74869  (SendTransHigh InitialContact)
Found:197 Checked:8921 Candidates:74868  (SendTransHigh ItmReAssToFHndler)
Found:197 Checked:8922 Candidates:74867  (SendTransHigh LiabilityAnalysis)
Found:197 Checked:8923 Candidates:74866  (SendTransHigh makePaymentSubmit)
Found:197 Checked:8924 Candidates:74865  (SendTransHigh Medical)
Found:197 Checked:8925 Candidates:74864  (SendTransHigh Medicare)
Found:197 Checked:8926 Candidates:74863  (SendTransHigh MedicareNotify)
Found:197 Checked:8927 Candidates:74862  (SendTransHigh MovefromParty)
Found:197 Checked:8928 Candidates:74861  (SendTransHigh MovetoParty)
Found:197 Checked:8929 Candidates:74860  (SendTransHigh Outbound)
Found:197 Checked:8930 Candidates:74859  (SendTransHigh PartyAdded)
Found:197 Checked:8931 Candidates:74858  (SendTransHigh PartyEdited)
Found:197 Checked:8932 Candidates:74857  (SendTransHigh PerilActivity)
Found:197 Checked:8933 Candidates:74856  (SendTransHigh PhvcNotice)
Found:197 Checked:8934 Candidates:74855  (SendTransHigh RcvdTranscriptn)
Found:197 Checked:8935 Candidates:74854  (SendTransHigh ReceiptItem)
Found:197 Checked:8936 Candidates:74853  (SendTransHigh Referral)
Found:197 Checked:8937 Candidates:74852  (SendTransHigh RefRemFromInbox)
Found:197 Checked:8938 Candidates:74851  (SendTransHigh RefRespBTCD)
Found:197 Checked:8939 Candidates:74850  (SendTransHigh RefRespFS)
Found:197 Checked:8940 Candidates:74849  (SendTransHigh RefRespGeneral)
Found:197 Checked:8941 Candidates:74848  (SendTransHigh RefRespPoliceFire)
Found:197 Checked:8942 Candidates:74847  (SendTransHigh RefSentBTCD)
Found:197 Checked:8943 Candidates:74846  (SendTransHigh RefSentFS)
Found:197 Checked:8944 Candidates:74845  (SendTransHigh RefSentGeneral)
Found:197 Checked:8945 Candidates:74844  (SendTransHigh RefSentPoliceFire)
Found:197 Checked:8946 Candidates:74843  (SendTransHigh ReviewRemFromInbox)
Found:197 Checked:8947 Candidates:74842  (SendTransHigh RouteToInbox)
Found:197 Checked:8948 Candidates:74841  (SendTransHigh RouteToUnAssiMail)
Found:197 Checked:8949 Candidates:74840  (SendTransHigh SuspendedItem)
Found:197 Checked:8950 Candidates:74839  (SendTransHigh Vehicle)
Found:197 Checked:8951 Candidates:74838  (SendTransHigh VehicleEdited)
Found:197 Checked:8952 Candidates:74837  (SentToBillAudit AssociatedToClaim)
Found:197 Checked:8953 Candidates:74836  (SentToBillAudit AssociatedToParty)
Found:197 Checked:8954 Candidates:74835  (SentToBillAudit AssReRouteQueue)
Found:197 Checked:8955 Candidates:74834  (SentToBillAudit AssRouteToOffice)
Found:197 Checked:8956 Candidates:74833  (SentToBillAudit AssToFileHandler)
Found:197 Checked:8957 Candidates:74832  (SentToBillAudit AudatexReceipt)
Found:197 Checked:8958 Candidates:74831  (SentToBillAudit ChangedDocType)
Found:197 Checked:8959 Candidates:74830  (SentToBillAudit ClaimActivityLog)
Found:197 Checked:8960 Candidates:74829  (SentToBillAudit ClaimClosed)
Found:197 Checked:8961 Candidates:74828  (SentToBillAudit ClaimEdited)
Found:197 Checked:8962 Candidates:74827  (SentToBillAudit ClaimReopened)
Found:197 Checked:8963 Candidates:74826  (SentToBillAudit ClaimReported)
Found:197 Checked:8964 Candidates:74825  (SentToBillAudit ClaimSetup)
Found:197 Checked:8965 Candidates:74824  (SentToBillAudit ClaimSummary)
Found:197 Checked:8966 Candidates:74823  (SentToBillAudit Contact)
Found:197 Checked:8967 Candidates:74822  (SentToBillAudit COPSCarAsgSentCRP)
Found:197 Checked:8968 Candidates:74821  (SentToBillAudit COPSCarAsgSentPDR)
Found:197 Checked:8969 Candidates:74820  (SentToBillAudit Correspondencsent)
Found:197 Checked:8970 Candidates:74819  (SentToBillAudit DocAddInProgress)
Found:197 Checked:8971 Candidates:74818  (SentToBillAudit DocumentAdded)
Found:197 Checked:8972 Candidates:74817  (SentToBillAudit DocumentFiled)
Found:197 Checked:8973 Candidates:74816  (SentToBillAudit EOBSent)
Found:197 Checked:8974 Candidates:74815  (SentToBillAudit EORSent)
Found:197 Checked:8975 Candidates:74814  (SentToBillAudit FYISent)
Found:197 Checked:8976 Candidates:74813  (SentToBillAudit Inbound)
Found:197 Checked:8977 Candidates:74812  (SentToBillAudit InitialContact)
Found:197 Checked:8978 Candidates:74811  (SentToBillAudit IsoMatchRpt)
Found:197 Checked:8979 Candidates:74810  (SentToBillAudit IsoNoMatchRpt)
Found:197 Checked:8980 Candidates:74809  (SentToBillAudit ItemCompleteDenial)
Found:197 Checked:8981 Candidates:74808  (SentToBillAudit ItmReAssToFHndler)
Found:197 Checked:8982 Candidates:74807  (SentToBillAudit LiabilityAnalysis)
Found:197 Checked:8983 Candidates:74806  (SentToBillAudit makePaymentSubmit)
Found:197 Checked:8984 Candidates:74805  (SentToBillAudit ManualDeny)
Found:197 Checked:8985 Candidates:74804  (SentToBillAudit ManualPayment)
Found:197 Checked:8986 Candidates:74803  (SentToBillAudit Medical)
Found:197 Checked:8987 Candidates:74802  (SentToBillAudit Medicare)
Found:197 Checked:8988 Candidates:74801  (SentToBillAudit MultDocAddBegin)
Found:197 Checked:8989 Candidates:74800  (SentToBillAudit MultipleDocAdded)
Found:197 Checked:8990 Candidates:74799  (SentToBillAudit MutliEOBSent)
Found:197 Checked:8991 Candidates:74798  (SentToBillAudit PartyEdited)
Found:197 Checked:8992 Candidates:74797  (SentToBillAudit PerilActivity)
Found:197 Checked:8993 Candidates:74796  (SentToBillAudit Perils/Reserves)
Found:197 Checked:8994 Candidates:74795  (SentToBillAudit ReceiptItem)
Found:197 Checked:8995 Candidates:74794  (SentToBillAudit RefCompPDVE)
Found:197 Checked:8996 Candidates:74793  (SentToBillAudit Referral)
Found:197 Checked:8997 Candidates:74792  (SentToBillAudit RefRemFromInbox)
Found:197 Checked:8998 Candidates:74791  (SentToBillAudit RefRespCSLT)
Found:197 Checked:8999 Candidates:74790  (SentToBillAudit RefRespGeneral)
Found:197 Checked:9000 Candidates:74789  (SentToBillAudit RefRespPDVE)
Found:197 Checked:9001 Candidates:74788  (SentToBillAudit RefRespSalvage)
Found:197 Checked:9002 Candidates:74787  (SentToBillAudit RefSentCSLT)
Found:197 Checked:9003 Candidates:74786  (SentToBillAudit RefSentGeneral)
Found:197 Checked:9004 Candidates:74785  (SentToBillAudit RefSentPDVE)
Found:197 Checked:9005 Candidates:74784  (SentToBillAudit RefSentSalvage)
Found:197 Checked:9006 Candidates:74783  (SentToBillAudit Rental)
Found:197 Checked:9007 Candidates:74782  (SentToBillAudit ReturnFrBillAudit)
Found:197 Checked:9008 Candidates:74781  (SentToBillAudit ReviewRemFromInbox)
Found:197 Checked:9009 Candidates:74780  (SentToBillAudit RouteToInbox)
Found:197 Checked:9010 Candidates:74779  (SentToBillAudit SentToBillAudit)
Found:197 Checked:9011 Candidates:74778  (SentToBillAudit SetupEbillParty)
Found:197 Checked:9012 Candidates:74777  (SentToBillAudit SuspendedItem)
Found:197 Checked:9013 Candidates:74776  (SentToBillAudit Suspense)
Found:197 Checked:9014 Candidates:74775  (SentToBillAudit TLWCompleteTtlLoss)
Found:197 Checked:9015 Candidates:74774  (SentToBillAudit UnsuspendedItem)
Found:197 Checked:9016 Candidates:74773  (SentToBillAudit Vehicle)
Found:197 Checked:9017 Candidates:74772  (SentToBillAudit VehicleEdited)
Found:197 Checked:9018 Candidates:74771  (SentToBillAudit VehSlvgLogCompltd)
Found:197 Checked:9019 Candidates:74770  (SentToBillAudit XPayAuthApprv)
Found:197 Checked:9020 Candidates:74769  (SentToBillAudit XPayAuthLimit)
Found:197 Checked:9021 Candidates:74768  (SetupEbillParty AssociatedToClaim)
Found:197 Checked:9022 Candidates:74767  (SetupEbillParty AssociatedToParty)
Found:197 Checked:9023 Candidates:74766  (SetupEbillParty AssReRouteQueue)
Found:197 Checked:9024 Candidates:74765  (SetupEbillParty AssRouteToOffice)
Found:197 Checked:9025 Candidates:74764  (SetupEbillParty AssToFileHandler)
Found:197 Checked:9026 Candidates:74763  (SetupEbillParty AudatexReceipt)
Found:197 Checked:9027 Candidates:74762  (SetupEbillParty ClaimActivityLog)
Found:197 Checked:9028 Candidates:74761  (SetupEbillParty ClaimClosed)
Found:197 Checked:9029 Candidates:74760  (SetupEbillParty ClaimEdited)
Found:197 Checked:9030 Candidates:74759  (SetupEbillParty ClaimReopened)
Found:197 Checked:9031 Candidates:74758  (SetupEbillParty ClaimReported)
Found:197 Checked:9032 Candidates:74757  (SetupEbillParty ClaimSetup)
Found:197 Checked:9033 Candidates:74756  (SetupEbillParty ClaimSummary)
Found:197 Checked:9034 Candidates:74755  (SetupEbillParty Contact)
Found:197 Checked:9035 Candidates:74754  (SetupEbillParty COPSCarAsgSentCRP)
Found:197 Checked:9036 Candidates:74753  (SetupEbillParty COPSCarAsgSentPDR)
Found:197 Checked:9037 Candidates:74752  (SetupEbillParty Correspondencsent)
Found:197 Checked:9038 Candidates:74751  (SetupEbillParty DocAddInProgress)
Found:197 Checked:9039 Candidates:74750  (SetupEbillParty DocumentAdded)
Found:197 Checked:9040 Candidates:74749  (SetupEbillParty DocumentFiled)
Found:197 Checked:9041 Candidates:74748  (SetupEbillParty EOBSent)
Found:197 Checked:9042 Candidates:74747  (SetupEbillParty EORSent)
Found:197 Checked:9043 Candidates:74746  (SetupEbillParty FYISent)
Found:197 Checked:9044 Candidates:74745  (SetupEbillParty grpPymtSubmit)
Found:197 Checked:9045 Candidates:74744  (SetupEbillParty Inbound)
Found:197 Checked:9046 Candidates:74743  (SetupEbillParty InitialContact)
Found:197 Checked:9047 Candidates:74742  (SetupEbillParty IsoMatchRpt)
Found:197 Checked:9048 Candidates:74741  (SetupEbillParty IsoNoMatchRpt)
Found:197 Checked:9049 Candidates:74740  (SetupEbillParty ItemCompleteDenial)
Found:197 Checked:9050 Candidates:74739  (SetupEbillParty ItmReAssToFHndler)
Found:197 Checked:9051 Candidates:74738  (SetupEbillParty LiabilityAnalysis)
Found:197 Checked:9052 Candidates:74737  (SetupEbillParty makePaymentSubmit)
